Reported trait,id,PubMed ID,M_or,M_m,M_ldpred,k,h2_est,p_est
Diverticular disease of intestine,GA3673,31427789,10358369,1075357,1004046,30,0.14891495188850373,0.004208023759695392
Other diseases of anus and rectum,GA3674,31427789,10359286,1075357,1003214,7,0.02087646645597012,0.0019402267812587137
Cholelithiasis,GA3675,31427789,10353820,1075357,1003528,30,0.06904167854742761,1.944448131904778e-4
Osteoarthritis of hip,GA3676,31427789,10348208,1075357,1003857,30,0.1828953210287343,0.004238165723082698
Osteoarthritis of knee,GA3677,31427789,10354645,1075357,1003836,30,0.16872833297229783,0.007962017951095343
Internal derangement of knee,GA3678,31427789,10357589,1075357,1003342,28,0.08209011798041158,0.0037511384463307608
Dorsalgia,GA3679,31427789,10351785,1075357,1003214,28,0.09644343240329398,0.0050401629218923116
Other disorders of urinary system,GA3680,31427789,10355982,1075357,1003513,19,0.05115247546815401,0.0035769737739241984
Pain in throat and chest,GA3681,31427789,10360000,1075357,1003682,30,0.05970864719124866,0.007072967341115635
Abdominal and pelvic pain,GA3682,31427789,10359876,1075357,1003556,26,0.037301128817702145,0.004115416669418853
Oth symptoms and signs involving the dgstv sys and abdomen,GA3683,31427789,10350773,1075357,1003348,4,0.011352726530930708,5.674061750373988e-4
Hematuria,GA3684,31427789,10357098,1075357,1003749,28,0.055658944281095565,0.001585506153717448
Other hypothyroidism,GA3685,31427789,10153073,1075357,1004626,30,0.19550838124091957,0.0014712636040835872
Type 2 Diabetes,GA3686,31427789,10154391,1075357,1004807,30,0.24774196321955103,0.005313841571249647
Obesity,GA3687,31427789,10150754,1075357,1003694,30,0.16618115432912317,0.005631815592533298
Disorders of lipoprotein metabolism and other lipidemias,GA3688,31427789,10154467,1075357,1006743,30,0.08035761670092947,0.0020017834361564586
Nicotine dependence,GA3689,31427789,10151321,1075357,1004607,23,0.10058314472779775,0.004468708187039294
Major depressive disorder,GA3690,31427789,10152266,1075357,1003703,20,0.06772888257086523,0.0038826481360395865
Essential (primary) hypertension,GA3691,31427789,10154467,1075357,1007844,30,0.12871840098927045,0.00967865906885346
Angina,GA3692,31427789,10153848,1075357,1005541,30,0.15281400285825814,0.0036654657740893192
Chronic ischemic heart disease,GA3693,31427789,10154383,1075357,1006404,30,0.13725571717209528,0.0038334514790420524
Atrial fibrillation and flutter,GA3694,31427789,10152288,1075357,1005040,30,0.11508345764574815,6.421885153901503e-4
Asthma,GA3695,31427789,10154464,1075357,1003566,30,0.11113974137870562,0.0030767850227017167
Gastro-esophageal reflux disease,GA3696,31427789,10152822,1075357,1003350,14,0.04103311881532758,0.0018064155973112584
Gastritis and duodenitis,GA3697,31427789,10154315,1075357,1003869,20,0.04330146749401102,0.0038448929195460226
Diaphragmatic hernia,GA3698,31427789,10154428,1075357,1003833,29,0.08420490556710124,0.005540100644103791
Diverticular disease of intestine,GA3699,31427789,10154104,1075357,1004163,30,0.12876666887702864,0.0046070211614962445
Other arthritis,GA3700,31427789,10150218,1075357,1004346,11,0.06218598363035205,0.002498472102380259
Other and unspecified osteoarthritis,GA3701,31427789,10152728,1075357,1004172,9,0.05796125373457822,0.0034234901793690187
Abdominal and pelvic pain,GA3702,31427789,10150624,1075357,1003361,15,0.031343342653141384,0.0024367965355682826
"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or later complication, without mention of misadventure at the time of the procedure",GA3703,31427789,10154383,1075357,1003464,5,0.007841303763458853,0.002725871417220493
Outcome of delivery,GA3704,31427789,10153023,1075357,1009576,22,0.08407709733463302,0.005703120811766142
Encounter for other aftercare,GA3705,31427789,10154465,1075357,1003661,17,0.013143231335913948,0.001958499648814809
"Persons encntr hlth serv for spec proc & trtmt, not crd out",GA3706,31427789,10154454,1075357,1003956,13,0.012153513011043362,0.00254647580372072
Problems related to lifestyle,GA3707,31427789,10154343,1075357,1005373,17,0.04529986001533329,0.004276182342932059
Family history of primary malignant neoplasm,GA3708,31427789,10150646,1075357,1003293,10,0.0296365046232403,0.0024103763809619153
Family history of certain disabilities and chronic diseases (leading to disablement),GA3709,31427789,10153621,1075357,1003852,28,0.08019082599812964,0.002048838348727142
Personal history of malignant neoplasm,GA3710,31427789,10154428,1075357,1004024,22,0.030472128114668488,0.001775280204422793
Personal history of certain other diseases,GA3711,31427789,10154467,1075357,1005881,23,0.021893639975376508,0.0031718870974827007
Personal history of other diseases and conditions,GA3712,31427789,10154466,1075357,1003915,16,0.021760911026776866,0.003110430125719682
Allergy status to drug/meds/biol subst,GA3713,31427789,10154465,1075357,1005133,14,0.0345677061353203,0.0036912006311648395
"Acquired absence of organs, not elsewhere classified",GA3714,31427789,10153931,1075357,1004023,11,0.02711695728577148,0.0019695093964563638
Personal history of medical treatment,GA3715,31427789,10154467,1075357,1006067,24,0.027022078200715158,0.001596389437474232
Presence of cardiac and vascular implants and grafts,GA3716,31427789,10153033,1075357,1005452,30,0.13389696893862896,0.002331316179177205
Presence of other functional implants,GA3717,31427789,10154288,1075357,1004774,24,0.057364131772619883,0.0043953919264604156
Alcohol intake,GA3718,31427789,9496441,1075356,1003982,30,0.09700913392300024,0.011483138552397857
"Ever had known person concerned about, or recommended reduction of alcohol consumption",GA3719,31427789,9567015,1075356,1004966,27,0.14743215992312675,0.008031756666121348
Frequency of failure to fulfil normal expectations fue to drinking alcohol in last year,GA3720,31427789,9145173,1075342,1003948,5,0.015609960122240798,0.0014134267214502422
Frequency of memory loss due to drinking alcohol in last year,GA3721,31427789,9144203,1075341,1003948,20,0.03568646785961528,0.004121433561862039
Frequency of feeling guilt or remorse after drinking alcohol in last year,GA3722,31427789,9144200,1075341,1003941,22,0.04125333395380161,0.004520849034212503
Frequency of needing morning drink of alcohol after heavy drinking session in last year,GA3723,31427789,9145283,1075342,1003974,4,0.0020044036069418406,0.002590470983361531
Frequency of inability to cease drinking in last year,GA3724,31427789,9144200,1075341,1003950,11,0.023651899317873176,0.0023461497554267668
Alcohol intake frequency,GA3725,31427789,9567039,1075356,1003962,30,0.10497040163357473,0.011906862855260575
Frequency of consuming six or more units of alcohol,GA3726,31427789,9499033,1075356,1003981,30,0.11152765671555322,0.012325455635697494
"Ever felt worried, tense, or anxious for most of a month or longer",GA3727,31427789,9513612,1075356,1004370,29,0.05824454626918708,0.0059723462305200144
Ever worried more than most people would in similar situation,GA3728,31427789,9430221,1075354,1004790,30,0.07159933705429193,0.006703425965101223
Age at first episode of depression,GA3729,31427789,9113898,1075336,1003971,13,0.030027255511157733,0.00251917798597703
Age at last episode of depression,GA3730,31427789,9096912,1075334,1003966,8,0.020418352934337396,0.0019909705725252354
Difficulty concentrating during worst ddepression,GA3731,31427789,9090871,1075334,1004452,19,0.046121486187067656,0.002599781196521124
Fraction of day affected during worst episode of depression,GA3732,31427789,9128164,1075339,1003959,21,0.03383127516625346,0.003193854198083065
Thoughts of death during worst depression,GA3733,31427789,9130572,1075339,1003942,11,0.026412686314953606,0.0028867164242214628
Duration of worst depression,GA3734,31427789,9157835,1075342,1003962,12,0.03207899216229819,0.002816688142098385
Frequency of depressed days during worst episode of depression,GA3735,31427789,9147579,1075342,1003966,15,0.030987581685305687,0.0031773147113150326
Impact of normal roles during worst period of depression,GA3736,31427789,9165864,1075344,1003959,14,0.030438744559412104,0.003144488325531954
Ever had prolonged loss of interest in normal activities,GA3737,31427789,9564533,1075356,1005726,30,0.052631893486193654,0.007346363950818582
Ever had prolonged feelings of sadness or depression,GA3739,31427789,9565035,1075356,1005927,30,0.048928337810511105,0.00750610115813176
Depression possibly related to stressful or traumatic event,GA3740,31427789,9165839,1075344,1005004,9,0.0270858403785841,0.0022183887513965543
Professional informed about depression,GA3741,31427789,9164759,1075344,1004464,13,0.042369082856547474,0.003911448660254624
Feelings of tiredness during worst episode of depression,GA3742,31427789,9100851,1075335,1004836,19,0.04272472557137001,0.0028687698770047602
Feelings of worthlessness during worst period of depression,GA3743,31427789,9125293,1075339,1005366,25,0.04844599110208432,0.004239673236211856
Ever taken cannabis,GA3744,31427789,9567039,1075356,1003968,30,0.09143308155741192,0.010942154575214937
Happiness,GA3745,31427789,9564533,1075356,1003962,30,0.06298881337977241,0.0077198186507744454
Happiness with own health,GA3746,31427789,9564535,1075356,1003968,30,0.0643120579837676,0.00811029707529293
Belief that own life is meaningfull,GA3747,31427789,9548951,1075356,1003958,30,0.06412174764320583,0.008559100112469967
Felt loved as child,GA3748,31427789,9564533,1075356,1003966,30,0.07054863245238643,0.008842074763155587
Someone to take to doctor when needed as a child,GA3749,31427789,9561902,1075356,1003968,18,0.02737636095528876,0.0039920899633186175
Felt irritable or had angry outbursts in past month,GA3750,31427789,9030676,1075319,1003969,15,0.03660031474727309,0.0034164951101159054
Avoided activities or situations because of previous stressful experience in past month,GA3751,31427789,9567039,1075356,1003974,25,0.029881267491767217,0.003883166508209528
Felt distant from other people in past month,GA3752,31427789,9031086,1075319,1003966,14,0.042664700670730346,0.003038243544596046
Repeated disturbing thoughts of stressful experience in past month,GA3753,31427789,9567039,1075356,1003967,27,0.03696038417219009,0.00493748214880221
Felt very upset when reminded of stressful expresince in past month,GA3754,31427789,9567039,1075356,1003972,30,0.04362457846712052,0.00574925060782678
Ever sought or received professional help for mental distress,GA3755,31427789,9564533,1075356,1005915,30,0.06700468822499506,0.008161872593330722
Ever suffered mental distress preventing usual activities,GA3756,31427789,9556586,1075356,1005586,30,0.05981914128841358,0.007095431074411723
Ever had period extreme irritability,GA3757,31427789,9542703,1075356,1004950,30,0.06647536006643123,0.006944198941534335
Recent easy annoyance or irritability,GA3758,31427789,9564533,1075356,1003970,28,0.03887882498371159,0.006446878076123534
Reccent feelings or nervousness or anxiety,GA3759,31427789,9564533,1075356,1003961,29,0.03681724587819172,0.005621517947728514
Recent feelings of inadequacy,GA3760,31427789,9564533,1075356,1003978,26,0.03285559900240323,0.0052855385405684175
Recent trouble concentrating on things,GA3761,31427789,9567039,1075356,1003969,22,0.02971377408712223,0.004932883106867576
Recent inability to stop or control worying,GA3762,31427789,9564533,1075356,1003968,28,0.038731783008813143,0.005908704913281177
Recent feelings of depression,GA3763,31427789,9564533,1075356,1003970,27,0.02968924123963793,0.004695066919063736
Recent poor appetite or overeting,GA3764,31427789,9567039,1075356,1003971,30,0.0428730792787225,0.0063939348898188544
Recent feelings of foreboding,GA3765,31427789,9564533,1075356,1003968,26,0.035370420695249975,0.0056759868289328105
Recent thoughts of suicide or self-harm,GA3766,31427789,9561902,1075356,1003968,12,0.010641951555424741,0.0021773475599405553
Recent lack of interenst of pleasure in doing things,GA3767,31427789,9564645,1075356,1003969,17,0.03144247335375622,0.004552063592769754
Recent trouble relaxing,GA3768,31427789,9564533,1075356,1003967,25,0.035155808264358275,0.005606489748120547
Recent restlessness,GA3769,31427789,9566424,1075356,1003970,17,0.02268305501880487,0.003921854472867865
Trouble falling or staying asleep. or sleeping too much,GA3770,31427789,9567039,1075356,1003965,30,0.04358527917678935,0.0059004154154883495
Recent changes in speed/amount of moving or speaking,GA3771,31427789,9567039,1075356,1003983,12,0.013851650178801023,0.0029009970520768157
Recent feelings of tiredness or low enery,GA3772,31427789,9567039,1075356,1003963,30,0.05534990249816685,0.007115923423418557
Recent worrying too much about different things,GA3773,31427789,9564533,1075356,1003966,28,0.0389973189442606,0.006592541991913984
Been in aconfiding relationship as an adult,GA3774,31427789,9546410,1075356,1003977,28,0.04111265787265516,0.00676524279909773
Able to pay rent/morgage as an adult,GA3775,31427789,9556586,1075356,1003970,18,0.0226727735278327,0.0035467759958815537
Been in serious accident believed to be life-threatening,GA3776,31427789,9567034,1075356,1004141,10,0.053279269954436756,0.002971416684124863
Diagnosed with life-threatening illness,GA3777,31427789,9564533,1075356,1004366,7,0.024161594704029576,0.0020940359584823032
Victim of physically violent crime,GA3778,31427789,9567039,1075356,1006235,24,0.03440532053237083,0.0039745350217414415
Witnessed sudden violent death,GA3779,31427789,9567039,1075356,1004621,21,0.04665608431933538,0.003741095204616783
Did your sleep change?,GA3780,31427789,9074116,1075327,1004536,11,0.03002177024042682,0.001823937933734318
Trouble falling asleep,GA3781,31427789,8942903,1075271,1003248,19,0.04311608037196412,0.002301901580728445
Sleeping too much,GA3782,31427789,8942903,1075271,1004298,7,0.04507325833682979,0.002054152226280526
Waking too early,GA3783,31427789,8942903,1075271,1003202,8,0.05262297045622315,0.00220527470217077
Weight change during worst episode of depression,GA3784,31427789,9032061,1075319,1003960,9,0.02451671930860015,0.0017524447575123386
Insomnia,GA3786,30804565,10862567,1075372,1009880,30,0.04752987333412624,0.0134098290755768
Insomnia,GA3787,30804565,10862567,1075372,1009880,30,0.04770915491206053,0.013530572311168028
Insomnia,GA3788,30804565,10862567,1075372,1009880,30,0.047603927324087456,0.013359805281127485
Chronotype,GA3789,30804565,5474951,539911,504025,30,0.09369785303611805,0.03117122970018266
Narcolepsy,GA3790,30804565,10820721,1075372,1003888,28,0.012380247466268361,0.005572996419322266
Ease of getting up in the morning,GA3791,30804565,5449278,538787,503135,30,0.05812470124906226,0.02599008541200798
Nap,GA3792,30804565,10858884,1075372,1003921,30,0.021404108234600552,0.007418668981261704
Depressive affect,GA3797,29942085,10847150,1075372,1003990,30,0.0936632600933742,0.01905510118832132
Worry,GA3798,29942085,10847150,1075372,1003988,30,0.09144922862028892,0.018262154446511428
Heart rate variability,GA3924,28613276,2532811,1055934,989140,24,0.03851664932113014,2.1559878692476998e-4
HbA1c,GA3943,28898252,2586698,1043527,954259,29,0.05590683527380261,0.0010773713568822192
Gestational weight gain,GA3960,28990592,2408704,985231,923685,21,0.12505932558964203,0.002979122011931681
Asthma,GA3968,29273806,1981040,979464,923845,30,0.14128109933793237,0.004233443210631889
Asthma,GA3969,29273806,1981040,979464,922793,30,0.044932270159808045,5.42484008374886e-4
Neuroticism,GA3990,29500382,10846943,1075357,1003655,30,0.10939991617880673,0.02074312994682618
Mood swings,GA3991,29500382,10846943,1075357,1003655,30,0.06759576143351553,0.016282221973862466
Miserableness,GA3992,29500382,10846943,1075357,1003655,30,0.0596897951693845,0.015004157139732043
Irritability,GA3993,29500382,10846943,1075357,1003655,30,0.06157412881436343,0.014717171392128144
Sensitivity,GA3994,29500382,10846943,1075357,1003655,30,0.06032620067668633,0.014634358114133937
Fed-up,GA3995,29500382,10846943,1075357,1003655,30,0.06826376360678604,0.01700484735451686
Nervous,GA3996,29500382,10846943,1075357,1003655,30,0.06326831994999413,0.015306694161937109
Anxious,GA3997,29500382,10846943,1075357,1003655,30,0.07362179497572785,0.01667748437738962
Tense,GA3998,29500382,10846943,1075357,1003655,30,0.05100900854172202,0.013071439967233797
Worry too long after embarrassment,GA3999,29500382,10846943,1075357,1003655,30,0.062322119573387166,0.015493021190504424
Suffer from nerves,GA4000,29500382,10846943,1075357,1003655,30,0.040200041495786376,0.011506663898559238
Loneliness,GA4001,29500382,10846943,1075357,1003655,30,0.035459829248633445,0.012110533279374879
Guilty feelings,GA4002,29500382,10846943,1075357,1003655,30,0.0493507598308221,0.013548880766259059
Epilepsy,GA4161,30531953,4988872,870657,824470,19,0.39148799828938585,0.006810953578432881
Heel bone mineral density,GA4175,30048462,20259826,1118442,1042358,30,0.41826027199807037,0.011156726141888108
Estimated glomerular filtration rate,GA4206,31152163,8885712,1116835,1041894,30,0.07433555220527138,0.006029704522373915
Blood urea nitrogen,GA4208,31152163,8358026,1115294,1044158,30,0.06675592679077699,0.0028492500729095007
Drugs used in diabetes,GA4217,31015401,7288503,1059298,993732,30,0.05016485278220401,0.004461135453814378
Antithrombotic agents,GA4218,31015401,7288503,1059298,993733,30,0.05677594470462491,0.005385667573831221
Vasodilators used in cardiac diseases,GA4219,31015401,7288503,1059298,993728,26,0.017297440547327445,0.003676642362355996
Antihypertensives,GA4220,31015401,7288503,1059298,993741,25,0.027303483555568643,0.004188490176250459
Calcium channel blockers,GA4223,31015401,7288503,1059298,993772,30,0.11608136601774072,0.008190036472414437
Drugs affecting bone structure and mineralization,GA4229,31015401,7288503,1059298,993724,28,0.022507947308317157,0.0027634895323361665
Handedness,GA4245,30980028,15053982,1113988,1038508,30,0.050501466061944014,0.005877782279496274
Handedness,GA4246,30980028,15053982,1113988,1038509,30,0.04593602322003171,0.006106991301812266
Ambidextrousness,GA4247,30980028,9859367,1105911,1033160,16,0.08226367190574504,0.0024364461251959605
Long sleep,GA4273,30846698,14661601,1118373,1042068,30,0.08367385120939759,0.008374682609844926
Short sleep,GA4274,30846698,14661601,1118373,1042076,30,0.06922603461103372,0.013919557062022293
Carpal tunnel syndrome,GA4276,30833571,8944547,1101820,1029877,30,0.2124278359556463,0.007269667943271586
Insomnia,GA4290,30804566,14661601,1118373,1042086,30,0.11898502607366723,0.01607862886704464
Chronotype,GA4294,30696823,11977111,1115705,1039938,30,0.11780454736660073,0.02038970931876781
Chronotype,GA4295,30696823,11977376,1115707,1039921,30,0.11588539740267112,0.018450431298567927
Erectile dysfunction,GA4332,30583798,9369315,1117109,1041386,6,0.012718669474490258,1.5642693588941223e-4
Asthma,GA4334,30552067,33771858,1107713,1025978,30,0.3502443935738241,0.002525533393670442
Albuminuria,GA4357,30220432,11709857,1115411,1039713,30,0.04742981733175229,0.009501528674806792
Acceleration average,GA4362,29899525,11826775,1118301,1042130,30,0.1418328831008658,0.01074685541344042
Strenuous sports or other exercises,GA4363,29899525,11838159,1118313,1042130,30,0.06380649701652039,0.013021865505094283
Vigorous physical activity,GA4364,29899525,11834614,1118307,1042096,30,0.06232227418437804,0.011702804223069024
Moderate to vigorous physical activity levels,GA4365,29899525,11838639,1118318,1042109,30,0.047272762170253196,0.012614170517684166
Fraction of accelerations,GA4366,29899525,11826725,1118305,1042125,30,0.1073089504834134,0.00929041031733456
