GWAS_trait,id,GWAS_pubmedID,source,M_or,M_m,M_ldpred,k,h2_est,p_est
Atorvastatin,GA3623,31427789,GWASAtlas,10282834,1075357,1004571,30,9.46e-02,7.63e-04
Glucosamine product,GA3624,31427789,GWASAtlas,10286027,1075357,1005157,14,3.05e-02,3.35e-03
Levothyroxine sodium,GA3625,31427789,GWASAtlas,10285376,1075357,1004533,30,1.99e-01,1.48e-03
Bendroflumethiazide,GA3626,31427789,GWASAtlas,10286006,1075357,1004626,30,1.33e-01,5.67e-03
Paracetamol,GA3627,31427789,GWASAtlas,10286041,1075357,1005261,30,3.74e-02,7.22e-03
Family (paternal) history of Heart disease,GA3628,31427789,GWASAtlas,10520505,1075357,1003281,30,3.77e-02,6.13e-03
Family (paternal) history of Stroke,GA3629,31427789,GWASAtlas,10520505,1075357,1003301,7,9.87e-03,1.78e-03
Family (paternal) history of Lung cancer,GA3630,31427789,GWASAtlas,10520465,1075357,1003450,30,4.11e-02,3.77e-03
Family (paternal) history of Bowel cancer,GA3631,31427789,GWASAtlas,10519889,1075357,1003049,8,2.17e-02,1.12e-03
Family (paternal) history of Chronic bronchitis/emphysema,GA3632,31427789,GWASAtlas,10520502,1075357,1004011,29,4.17e-02,6.15e-03
Family (paternal) history of High blood pressure,GA3633,31427789,GWASAtlas,10520505,1075357,1004427,30,3.10e-02,5.47e-03
Family (paternal) history of Diabetes,GA3634,31427789,GWASAtlas,10520503,1075357,1003554,30,9.26e-02,6.05e-03
Family (paternal) history of Alzheimer's disease,GA3635,31427789,GWASAtlas,10518475,1075357,1003368,25,1.71e-02,1.12e-05
Family (paternal) history of Severe depression,GA3636,31427789,GWASAtlas,10515730,1075357,1003190,21,5.74e-02,4.47e-03
Family (paternal) history of Prostate cancer,GA3637,31427789,GWASAtlas,10520442,1075357,1003204,26,2.82e-02,8.74e-04
Family (maternal) history of Heart disease,GA3638,31427789,GWASAtlas,10552592,1075357,1004178,30,2.59e-02,3.64e-03
Family (maternal) history of Stroke,GA3639,31427789,GWASAtlas,10552592,1075357,1004125,23,1.54e-02,3.98e-03
Family (maternal) history of Lung cancer,GA3640,31427789,GWASAtlas,10547433,1075357,1003213,15,3.16e-02,1.70e-03
Family (maternal) history of Bowel cancer,GA3641,31427789,GWASAtlas,10551413,1075357,1003212,16,2.31e-02,2.03e-03
Family (maternal) history of Breast cancer,GA3642,31427789,GWASAtlas,10552582,1075357,1003108,25,2.44e-02,6.57e-04
Family (maternal) history of Chronic bronchitis/emphysema,GA3643,31427789,GWASAtlas,10552067,1075357,1003348,27,5.64e-02,4.83e-03
Family (maternal) history of High blood pressure,GA3644,31427789,GWASAtlas,10552592,1075357,1004264,30,3.50e-02,6.87e-03
Family (maternal) history of Diabetes,GA3645,31427789,GWASAtlas,10552590,1075357,1003267,30,8.92e-02,5.48e-03
Family (maternal) history of Alzheimer's disease,GA3646,31427789,GWASAtlas,10552574,1075357,1004378,30,2.40e-02,1.83e-05
Family (maternal) history of Severe depression,GA3647,31427789,GWASAtlas,10552468,1075357,1003281,27,4.80e-02,5.32e-03
Family (siblings) history of Heart disease,GA3648,31427789,GWASAtlas,10383971,1075357,1005357,29,5.04e-02,4.73e-03
Family (siblings) history of Stroke,GA3649,31427789,GWASAtlas,10370504,1075357,1003860,9,3.10e-02,1.51e-03
Family (siblings) history of Breast cancer,GA3650,31427789,GWASAtlas,10381785,1075357,1003478,22,3.08e-02,7.13e-04
Family (siblings) history of High blood pressure,GA3651,31427789,GWASAtlas,10383973,1075357,1004436,30,5.85e-02,7.73e-03
Family (siblings) history of Diabetes,GA3652,31427789,GWASAtlas,10383954,1075357,1003746,30,8.06e-02,4.18e-03
Family (siblings) history of Severe depression,GA3653,31427789,GWASAtlas,10383898,1075357,1003402,28,5.45e-02,5.14e-03
Ever vs never smokers,GA3654,31427789,GWASAtlas,10599054,1075357,1005314,30,1.00e-01,2.04e-02
Former vs current smokers,GA3655,31427789,GWASAtlas,9856108,1075356,1007230,30,6.03e-02,7.53e-03
Ever vs never drinkers,GA3656,31427789,GWASAtlas,10595717,1075357,1003634,30,2.42e-01,1.35e-02
Former vs current drinkers,GA3657,31427789,GWASAtlas,10565103,1075357,1003618,29,1.02e-01,6.84e-03
Other and unspecified malignant neoplasm of skin,GA3658,31427789,GWASAtlas,9006841,1075314,1004733,30,1.40e-01,1.05e-03
Malignant neoplasm of breast,GA3659,31427789,GWASAtlas,9007627,1075314,1009799,27,6.89e-02,4.00e-04
Basal cell carcinoma,GA3660,31427789,GWASAtlas,9066843,1075325,1005049,30,1.40e-01,8.03e-04
Adenocarcinoma,GA3661,31427789,GWASAtlas,9065925,1075325,1008830,24,4.86e-02,4.65e-04
Carcinoma in situ,GA3662,31427789,GWASAtlas,9072313,1075326,1006494,9,7.25e-03,1.24e-04
"Malignant, primary site",GA3663,31427789,GWASAtlas,9073249,1075327,1006396,8,6.20e-03,8.08e-05
Other and unspecified malignant neoplasm of skin,GA3665,31427789,GWASAtlas,10347256,1075357,1003873,30,1.30e-01,7.41e-04
"Benign neoplasm of colon, rectum, anus and anal canal",GA3666,31427789,GWASAtlas,10352088,1075357,1003814,27,1.07e-01,1.67e-03
Other cataract,GA3667,31427789,GWASAtlas,10357482,1075357,1004894,28,7.43e-02,2.03e-03
Chronic ischemic heart disease,GA3668,31427789,GWASAtlas,10358749,1075357,1005705,30,1.99e-01,3.87e-03
Gastro-esophageal reflux disease,GA3669,31427789,GWASAtlas,10356180,1075357,1003302,11,5.52e-02,2.83e-03
Gastritis and duodenitis,GA3670,31427789,GWASAtlas,10358816,1075357,1003742,14,4.38e-02,3.82e-03
Inguinal hernia,GA3671,31427789,GWASAtlas,10358566,1075357,1006337,30,1.37e-01,2.74e-03
Other and unsp noninfective gastroenteritis and colitis,GA3672,31427789,GWASAtlas,10351448,1075357,1003182,12,4.01e-02,2.05e-03
Diverticular disease of intestine,GA3673,31427789,GWASAtlas,10358369,1075357,1004046,30,1.49e-01,4.21e-03
Other diseases of anus and rectum,GA3674,31427789,GWASAtlas,10359286,1075357,1003214,7,2.09e-02,1.94e-03
Cholelithiasis,GA3675,31427789,GWASAtlas,10353820,1075357,1003528,30,6.90e-02,1.94e-04
Osteoarthritis of hip,GA3676,31427789,GWASAtlas,10348208,1075357,1003857,30,1.83e-01,4.24e-03
Osteoarthritis of knee,GA3677,31427789,GWASAtlas,10354645,1075357,1003836,30,1.69e-01,7.96e-03
Internal derangement of knee,GA3678,31427789,GWASAtlas,10357589,1075357,1003342,28,8.21e-02,3.75e-03
Dorsalgia,GA3679,31427789,GWASAtlas,10351785,1075357,1003214,28,9.64e-02,5.04e-03
Other disorders of urinary system,GA3680,31427789,GWASAtlas,10355982,1075357,1003513,19,5.12e-02,3.58e-03
Pain in throat and chest,GA3681,31427789,GWASAtlas,10360000,1075357,1003682,30,5.97e-02,7.07e-03
Abdominal and pelvic pain,GA3682,31427789,GWASAtlas,10359876,1075357,1003556,26,3.73e-02,4.12e-03
Oth symptoms and signs involving the dgstv sys and abdomen,GA3683,31427789,GWASAtlas,10350773,1075357,1003348,4,1.14e-02,5.67e-04
Hematuria,GA3684,31427789,GWASAtlas,10357098,1075357,1003749,28,5.57e-02,1.59e-03
Other hypothyroidism,GA3685,31427789,GWASAtlas,10153073,1075357,1004626,30,1.96e-01,1.47e-03
Type 2 Diabetes,GA3686,31427789,GWASAtlas,10154391,1075357,1004807,30,2.48e-01,5.31e-03
Obesity,GA3687,31427789,GWASAtlas,10150754,1075357,1003694,30,1.66e-01,5.63e-03
Disorders of lipoprotein metabolism and other lipidemias,GA3688,31427789,GWASAtlas,10154467,1075357,1006743,30,8.04e-02,2.00e-03
Nicotine dependence,GA3689,31427789,GWASAtlas,10151321,1075357,1004607,23,1.01e-01,4.47e-03
Major depressive disorder,GA3690,31427789,GWASAtlas,10152266,1075357,1003703,20,6.77e-02,3.88e-03
Essential (primary) hypertension,GA3691,31427789,GWASAtlas,10154467,1075357,1007844,30,1.29e-01,9.68e-03
Angina,GA3692,31427789,GWASAtlas,10153848,1075357,1005541,30,1.53e-01,3.67e-03
Chronic ischemic heart disease,GA3693,31427789,GWASAtlas,10154383,1075357,1006404,30,1.37e-01,3.83e-03
Atrial fibrillation and flutter,GA3694,31427789,GWASAtlas,10152288,1075357,1005040,30,1.15e-01,6.42e-04
Asthma,GA3695,31427789,GWASAtlas,10154464,1075357,1003566,30,1.11e-01,3.08e-03
Gastro-esophageal reflux disease,GA3696,31427789,GWASAtlas,10152822,1075357,1003350,14,4.10e-02,1.81e-03
Gastritis and duodenitis,GA3697,31427789,GWASAtlas,10154315,1075357,1003869,20,4.33e-02,3.84e-03
Diaphragmatic hernia,GA3698,31427789,GWASAtlas,10154428,1075357,1003833,29,8.42e-02,5.54e-03
Diverticular disease of intestine,GA3699,31427789,GWASAtlas,10154104,1075357,1004163,30,1.29e-01,4.61e-03
Other arthritis,GA3700,31427789,GWASAtlas,10150218,1075357,1004346,11,6.22e-02,2.50e-03
Other and unspecified osteoarthritis,GA3701,31427789,GWASAtlas,10152728,1075357,1004172,9,5.80e-02,3.42e-03
Abdominal and pelvic pain,GA3702,31427789,GWASAtlas,10150624,1075357,1003361,15,3.13e-02,2.44e-03
"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or later complication, without mention of misadventure at the time of the procedure",GA3703,31427789,GWASAtlas,10154383,1075357,1003464,5,7.84e-03,2.73e-03
Outcome of delivery,GA3704,31427789,GWASAtlas,10153023,1075357,1009576,22,8.41e-02,5.70e-03
Encounter for other aftercare,GA3705,31427789,GWASAtlas,10154465,1075357,1003661,17,1.31e-02,1.96e-03
"Persons encntr hlth serv for spec proc & trtmt, not crd out",GA3706,31427789,GWASAtlas,10154454,1075357,1003956,13,1.22e-02,2.55e-03
Problems related to lifestyle,GA3707,31427789,GWASAtlas,10154343,1075357,1005373,17,4.53e-02,4.28e-03
Family history of primary malignant neoplasm,GA3708,31427789,GWASAtlas,10150646,1075357,1003293,10,2.96e-02,2.41e-03
Family history of certain disabilities and chronic diseases (leading to disablement),GA3709,31427789,GWASAtlas,10153621,1075357,1003852,28,8.02e-02,2.05e-03
Personal history of malignant neoplasm,GA3710,31427789,GWASAtlas,10154428,1075357,1004024,22,3.05e-02,1.78e-03
Personal history of certain other diseases,GA3711,31427789,GWASAtlas,10154467,1075357,1005881,23,2.19e-02,3.17e-03
Personal history of other diseases and conditions,GA3712,31427789,GWASAtlas,10154466,1075357,1003915,16,2.18e-02,3.11e-03
Allergy status to drug/meds/biol subst,GA3713,31427789,GWASAtlas,10154465,1075357,1005133,14,3.46e-02,3.69e-03
"Acquired absence of organs, not elsewhere classified",GA3714,31427789,GWASAtlas,10153931,1075357,1004023,11,2.71e-02,1.97e-03
Personal history of medical treatment,GA3715,31427789,GWASAtlas,10154467,1075357,1006067,24,2.70e-02,1.60e-03
Presence of cardiac and vascular implants and grafts,GA3716,31427789,GWASAtlas,10153033,1075357,1005452,30,1.34e-01,2.33e-03
Presence of other functional implants,GA3717,31427789,GWASAtlas,10154288,1075357,1004774,24,5.74e-02,4.40e-03
Alcohol intake,GA3718,31427789,GWASAtlas,9496441,1075356,1003982,30,9.70e-02,1.15e-02
"Ever had known person concerned about, or recommended reduction of alcohol consumption",GA3719,31427789,GWASAtlas,9567015,1075356,1004966,27,1.47e-01,8.03e-03
Frequency of failure to fulfil normal expectations fue to drinking alcohol in last year,GA3720,31427789,GWASAtlas,9145173,1075342,1003948,5,1.56e-02,1.41e-03
Frequency of memory loss due to drinking alcohol in last year,GA3721,31427789,GWASAtlas,9144203,1075341,1003948,20,3.57e-02,4.12e-03
Frequency of feeling guilt or remorse after drinking alcohol in last year,GA3722,31427789,GWASAtlas,9144200,1075341,1003941,22,4.13e-02,4.52e-03
Frequency of needing morning drink of alcohol after heavy drinking session in last year,GA3723,31427789,GWASAtlas,9145283,1075342,1003974,4,2.00e-03,2.59e-03
Frequency of inability to cease drinking in last year,GA3724,31427789,GWASAtlas,9144200,1075341,1003950,11,2.37e-02,2.35e-03
Alcohol intake frequency,GA3725,31427789,GWASAtlas,9567039,1075356,1003962,30,1.05e-01,1.19e-02
Frequency of consuming six or more units of alcohol,GA3726,31427789,GWASAtlas,9499033,1075356,1003981,30,1.12e-01,1.23e-02
"Ever felt worried, tense, or anxious for most of a month or longer",GA3727,31427789,GWASAtlas,9513612,1075356,1004370,29,5.82e-02,5.97e-03
Ever worried more than most people would in similar situation,GA3728,31427789,GWASAtlas,9430221,1075354,1004790,30,7.16e-02,6.70e-03
Age at first episode of depression,GA3729,31427789,GWASAtlas,9113898,1075336,1003971,13,3.00e-02,2.52e-03
Age at last episode of depression,GA3730,31427789,GWASAtlas,9096912,1075334,1003966,8,2.04e-02,1.99e-03
Difficulty concentrating during worst ddepression,GA3731,31427789,GWASAtlas,9090871,1075334,1004452,19,4.61e-02,2.60e-03
Fraction of day affected during worst episode of depression,GA3732,31427789,GWASAtlas,9128164,1075339,1003959,21,3.38e-02,3.19e-03
Thoughts of death during worst depression,GA3733,31427789,GWASAtlas,9130572,1075339,1003942,11,2.64e-02,2.89e-03
Duration of worst depression,GA3734,31427789,GWASAtlas,9157835,1075342,1003962,12,3.21e-02,2.82e-03
Frequency of depressed days during worst episode of depression,GA3735,31427789,GWASAtlas,9147579,1075342,1003966,15,3.10e-02,3.18e-03
Impact of normal roles during worst period of depression,GA3736,31427789,GWASAtlas,9165864,1075344,1003959,14,3.04e-02,3.14e-03
Ever had prolonged loss of interest in normal activities,GA3737,31427789,GWASAtlas,9564533,1075356,1005726,30,5.26e-02,7.35e-03
Ever had prolonged feelings of sadness or depression,GA3739,31427789,GWASAtlas,9565035,1075356,1005927,30,4.89e-02,7.51e-03
Depression possibly related to stressful or traumatic event,GA3740,31427789,GWASAtlas,9165839,1075344,1005004,9,2.71e-02,2.22e-03
Professional informed about depression,GA3741,31427789,GWASAtlas,9164759,1075344,1004464,13,4.24e-02,3.91e-03
Feelings of tiredness during worst episode of depression,GA3742,31427789,GWASAtlas,9100851,1075335,1004836,19,4.27e-02,2.87e-03
Feelings of worthlessness during worst period of depression,GA3743,31427789,GWASAtlas,9125293,1075339,1005366,25,4.84e-02,4.24e-03
Ever taken cannabis,GA3744,31427789,GWASAtlas,9567039,1075356,1003968,30,9.14e-02,1.09e-02
Happiness,GA3745,31427789,GWASAtlas,9564533,1075356,1003962,30,6.30e-02,7.72e-03
Happiness with own health,GA3746,31427789,GWASAtlas,9564535,1075356,1003968,30,6.43e-02,8.11e-03
Belief that own life is meaningfull,GA3747,31427789,GWASAtlas,9548951,1075356,1003958,30,6.41e-02,8.56e-03
Felt loved as child,GA3748,31427789,GWASAtlas,9564533,1075356,1003966,30,7.05e-02,8.84e-03
Someone to take to doctor when needed as a child,GA3749,31427789,GWASAtlas,9561902,1075356,1003968,18,2.74e-02,3.99e-03
Felt irritable or had angry outbursts in past month,GA3750,31427789,GWASAtlas,9030676,1075319,1003969,15,3.66e-02,3.42e-03
Avoided activities or situations because of previous stressful experience in past month,GA3751,31427789,GWASAtlas,9567039,1075356,1003974,25,2.99e-02,3.88e-03
Felt distant from other people in past month,GA3752,31427789,GWASAtlas,9031086,1075319,1003966,14,4.27e-02,3.04e-03
Repeated disturbing thoughts of stressful experience in past month,GA3753,31427789,GWASAtlas,9567039,1075356,1003967,27,3.70e-02,4.94e-03
Felt very upset when reminded of stressful expresince in past month,GA3754,31427789,GWASAtlas,9567039,1075356,1003972,30,4.36e-02,5.75e-03
Ever sought or received professional help for mental distress,GA3755,31427789,GWASAtlas,9564533,1075356,1005915,30,6.70e-02,8.16e-03
Ever suffered mental distress preventing usual activities,GA3756,31427789,GWASAtlas,9556586,1075356,1005586,30,5.98e-02,7.10e-03
Ever had period extreme irritability,GA3757,31427789,GWASAtlas,9542703,1075356,1004950,30,6.65e-02,6.94e-03
Recent easy annoyance or irritability,GA3758,31427789,GWASAtlas,9564533,1075356,1003970,28,3.89e-02,6.45e-03
Reccent feelings or nervousness or anxiety,GA3759,31427789,GWASAtlas,9564533,1075356,1003961,29,3.68e-02,5.62e-03
Recent feelings of inadequacy,GA3760,31427789,GWASAtlas,9564533,1075356,1003978,26,3.29e-02,5.29e-03
Recent trouble concentrating on things,GA3761,31427789,GWASAtlas,9567039,1075356,1003969,22,2.97e-02,4.93e-03
Recent inability to stop or control worying,GA3762,31427789,GWASAtlas,9564533,1075356,1003968,28,3.87e-02,5.91e-03
Recent feelings of depression,GA3763,31427789,GWASAtlas,9564533,1075356,1003970,27,2.97e-02,4.70e-03
Recent poor appetite or overeting,GA3764,31427789,GWASAtlas,9567039,1075356,1003971,30,4.29e-02,6.39e-03
Recent feelings of foreboding,GA3765,31427789,GWASAtlas,9564533,1075356,1003968,26,3.54e-02,5.68e-03
Recent thoughts of suicide or self-harm,GA3766,31427789,GWASAtlas,9561902,1075356,1003968,12,1.06e-02,2.18e-03
Recent lack of interenst of pleasure in doing things,GA3767,31427789,GWASAtlas,9564645,1075356,1003969,17,3.14e-02,4.55e-03
Recent trouble relaxing,GA3768,31427789,GWASAtlas,9564533,1075356,1003967,25,3.52e-02,5.61e-03
Recent restlessness,GA3769,31427789,GWASAtlas,9566424,1075356,1003970,17,2.27e-02,3.92e-03
Trouble falling or staying asleep. or sleeping too much,GA3770,31427789,GWASAtlas,9567039,1075356,1003965,30,4.36e-02,5.90e-03
Recent changes in speed/amount of moving or speaking,GA3771,31427789,GWASAtlas,9567039,1075356,1003983,12,1.39e-02,2.90e-03
Recent feelings of tiredness or low enery,GA3772,31427789,GWASAtlas,9567039,1075356,1003963,30,5.53e-02,7.12e-03
Recent worrying too much about different things,GA3773,31427789,GWASAtlas,9564533,1075356,1003966,28,3.90e-02,6.59e-03
Been in aconfiding relationship as an adult,GA3774,31427789,GWASAtlas,9546410,1075356,1003977,28,4.11e-02,6.77e-03
Able to pay rent/morgage as an adult,GA3775,31427789,GWASAtlas,9556586,1075356,1003970,18,2.27e-02,3.55e-03
Been in serious accident believed to be life-threatening,GA3776,31427789,GWASAtlas,9567034,1075356,1004141,10,5.33e-02,2.97e-03
Diagnosed with life-threatening illness,GA3777,31427789,GWASAtlas,9564533,1075356,1004366,7,2.42e-02,2.09e-03
Victim of physically violent crime,GA3778,31427789,GWASAtlas,9567039,1075356,1006235,24,3.44e-02,3.97e-03
Witnessed sudden violent death,GA3779,31427789,GWASAtlas,9567039,1075356,1004621,21,4.67e-02,3.74e-03
Did your sleep change?,GA3780,31427789,GWASAtlas,9074116,1075327,1004536,11,3.00e-02,1.82e-03
Trouble falling asleep,GA3781,31427789,GWASAtlas,8942903,1075271,1003248,19,4.31e-02,2.30e-03
Sleeping too much,GA3782,31427789,GWASAtlas,8942903,1075271,1004298,7,4.51e-02,2.05e-03
Waking too early,GA3783,31427789,GWASAtlas,8942903,1075271,1003202,8,5.26e-02,2.21e-03
Weight change during worst episode of depression,GA3784,31427789,GWASAtlas,9032061,1075319,1003960,9,2.45e-02,1.75e-03
Insomnia,GA3786,30804565,GWASAtlas,10862567,1075372,1009880,30,4.75e-02,1.34e-02
Insomnia,GA3787,30804565,GWASAtlas,10862567,1075372,1009880,30,4.77e-02,1.35e-02
Insomnia,GA3788,30804565,GWASAtlas,10862567,1075372,1009880,30,4.76e-02,1.34e-02
Chronotype,GA3789,30804565,GWASAtlas,5474951,539911,504025,30,9.37e-02,3.12e-02
Narcolepsy,GA3790,30804565,GWASAtlas,10820721,1075372,1003888,28,1.24e-02,5.57e-03
Ease of getting up in the morning,GA3791,30804565,GWASAtlas,5449278,538787,503135,30,5.81e-02,2.60e-02
Nap,GA3792,30804565,GWASAtlas,10858884,1075372,1003921,30,2.14e-02,7.42e-03
Depressive affect,GA3797,29942085,GWASAtlas,10847150,1075372,1003990,30,9.37e-02,1.91e-02
Worry,GA3798,29942085,GWASAtlas,10847150,1075372,1003988,30,9.14e-02,1.83e-02
Heart rate variability,GA3924,28613276,GWASAtlas,2532811,1055934,989140,24,3.85e-02,2.16e-04
HbA1c,GA3943,28898252,GWASAtlas,2586698,1043527,954259,29,5.59e-02,1.08e-03
Gestational weight gain,GA3960,28990592,GWASAtlas,2408704,985231,923685,21,1.25e-01,2.98e-03
Asthma,GA3968,29273806,GWASAtlas,1981040,979464,923845,30,1.41e-01,4.23e-03
Asthma,GA3969,29273806,GWASAtlas,1981040,979464,922793,30,4.49e-02,5.42e-04
Neuroticism,GA3990,29500382,GWASAtlas,10846943,1075357,1003655,30,1.09e-01,2.07e-02
Mood swings,GA3991,29500382,GWASAtlas,10846943,1075357,1003655,30,6.76e-02,1.63e-02
Miserableness,GA3992,29500382,GWASAtlas,10846943,1075357,1003655,30,5.97e-02,1.50e-02
Irritability,GA3993,29500382,GWASAtlas,10846943,1075357,1003655,30,6.16e-02,1.47e-02
Sensitivity,GA3994,29500382,GWASAtlas,10846943,1075357,1003655,30,6.03e-02,1.46e-02
Fed-up,GA3995,29500382,GWASAtlas,10846943,1075357,1003655,30,6.83e-02,1.70e-02
Nervous,GA3996,29500382,GWASAtlas,10846943,1075357,1003655,30,6.33e-02,1.53e-02
Anxious,GA3997,29500382,GWASAtlas,10846943,1075357,1003655,30,7.36e-02,1.67e-02
Tense,GA3998,29500382,GWASAtlas,10846943,1075357,1003655,30,5.10e-02,1.31e-02
Worry too long after embarrassment,GA3999,29500382,GWASAtlas,10846943,1075357,1003655,30,6.23e-02,1.55e-02
Suffer from nerves,GA4000,29500382,GWASAtlas,10846943,1075357,1003655,30,4.02e-02,1.15e-02
Loneliness,GA4001,29500382,GWASAtlas,10846943,1075357,1003655,30,3.55e-02,1.21e-02
Guilty feelings,GA4002,29500382,GWASAtlas,10846943,1075357,1003655,30,4.94e-02,1.35e-02
Epilepsy,GA4161,30531953,GWASAtlas,4988872,870657,824470,19,3.91e-01,6.81e-03
Heel bone mineral density,GA4175,30048462,GWASAtlas,20259826,1118442,1042358,30,4.18e-01,1.12e-02
Estimated glomerular filtration rate,GA4206,31152163,GWASAtlas,8885712,1116835,1041894,30,7.43e-02,6.03e-03
Blood urea nitrogen,GA4208,31152163,GWASAtlas,8358026,1115294,1044158,30,6.68e-02,2.85e-03
Drugs used in diabetes,GA4217,31015401,GWASAtlas,7288503,1059298,993732,30,5.02e-02,4.46e-03
Antithrombotic agents,GA4218,31015401,GWASAtlas,7288503,1059298,993733,30,5.68e-02,5.39e-03
Vasodilators used in cardiac diseases,GA4219,31015401,GWASAtlas,7288503,1059298,993728,26,1.73e-02,3.68e-03
Antihypertensives,GA4220,31015401,GWASAtlas,7288503,1059298,993741,25,2.73e-02,4.19e-03
Calcium channel blockers,GA4223,31015401,GWASAtlas,7288503,1059298,993772,30,1.16e-01,8.19e-03
Drugs affecting bone structure and mineralization,GA4229,31015401,GWASAtlas,7288503,1059298,993724,28,2.25e-02,2.76e-03
Handedness,GA4245,30980028,GWASAtlas,15053982,1113988,1038508,30,5.05e-02,5.88e-03
Handedness,GA4246,30980028,GWASAtlas,15053982,1113988,1038509,30,4.59e-02,6.11e-03
Ambidextrousness,GA4247,30980028,GWASAtlas,9859367,1105911,1033160,16,8.23e-02,2.44e-03
Long sleep,GA4273,30846698,GWASAtlas,14661601,1118373,1042068,30,8.37e-02,8.37e-03
Short sleep,GA4274,30846698,GWASAtlas,14661601,1118373,1042076,30,6.92e-02,1.39e-02
Carpal tunnel syndrome,GA4276,30833571,GWASAtlas,8944547,1101820,1029877,30,2.12e-01,7.27e-03
Insomnia,GA4290,30804566,GWASAtlas,14661601,1118373,1042086,30,1.19e-01,1.61e-02
Chronotype,GA4294,30696823,GWASAtlas,11977111,1115705,1039938,30,1.18e-01,2.04e-02
Chronotype,GA4295,30696823,GWASAtlas,11977376,1115707,1039921,30,1.16e-01,1.85e-02
Erectile dysfunction,GA4332,30583798,GWASAtlas,9369315,1117109,1041386,6,1.27e-02,1.56e-04
Asthma,GA4334,30552067,GWASAtlas,33771858,1107713,1025978,30,3.50e-01,2.53e-03
Albuminuria,GA4357,30220432,GWASAtlas,11709857,1115411,1039713,30,4.74e-02,9.50e-03
Acceleration average,GA4362,29899525,GWASAtlas,11826775,1118301,1042130,30,1.42e-01,1.07e-02
Strenuous sports or other exercises,GA4363,29899525,GWASAtlas,11838159,1118313,1042130,30,6.38e-02,1.30e-02
Vigorous physical activity,GA4364,29899525,GWASAtlas,11834614,1118307,1042096,30,6.23e-02,1.17e-02
Moderate to vigorous physical activity levels,GA4365,29899525,GWASAtlas,11838639,1118318,1042109,30,4.73e-02,1.26e-02
Fraction of accelerations,GA4366,29899525,GWASAtlas,11826725,1118305,1042125,30,1.07e-01,9.29e-03
